group	block1group	word	cluster	sonDiff	corr_file	comparison_file	repair	whoIsCorrect	sylls
5	1	flip	fl	2	boo-flip3.wav	tee-lip1.wav	init_del	boo	1
1	5	flip	fl	2	boo-flip3.wav	tee-lip1.wav	init_del	boo	1
8	8	clock	kl	3	boo-clock2.wav	tee-lock2.wav	init_del	boo	1
4	4	clock	kl	3	boo-clock2.wav	tee-lock2.wav	init_del	boo	1
4	4	closet	kl	3	boo-closet2.wav	tee-loset1.wav	init_del	boo	2
8	8	closet	kl	3	boo-closet2.wav	tee-loset1.wav	init_del	boo	2
2	5	flower	fl	2	boo-flower1.wav	tee-lower2.wav	init_del	boo	2
6	1	flower	fl	2	boo-flower1.wav	tee-lower2.wav	init_del	boo	2
1	6	music	mj	2	boo-mjusic1.wav	tee-mEjusic2.wav	med_epen	boo	2
5	2	music	mj	2	boo-mjusic1.wav	tee-mEjusic2.wav	med_epen	boo	2
4	8	smoke	sm	1	boo-smoke2.wav	tee-moke2.wav	init_del	boo	1
8	4	smoke	sm	1	boo-smoke2.wav	tee-moke2.wav	init_del	boo	1
4	8	music	mj	2	boo-mjusic1.wav	tee-music2.wav	med_del	boo	2
8	4	music	mj	2	boo-mjusic1.wav	tee-music2.wav	med_del	boo	2
3	3	snake	sn	1	boo-snake2.wav	tee-nake2.wav	init_del	boo	1
7	7	snake	sn	1	boo-snake2.wav	tee-nake2.wav	init_del	boo	1
7	7	snowman	sn	1	boo-snowman2.wav	tee-nowman1.wav	init_del	boo	2
3	3	snowman	sn	1	boo-snowman2.wav	tee-nowman1.wav	init_del	boo	2
6	8	spoon	sp	-1	boo-spoon1.wav	tee-poon1.wav	init_del	boo	1
2	4	spoon	sp	-1	boo-spoon1.wav	tee-poon1.wav	init_del	boo	1
4	2	freezer	fr	2	boo-freezer2.wav	tee-reezer2.wav	init_del	boo	2
8	6	freezer	fr	2	boo-freezer2.wav	tee-reezer2.wav	init_del	boo	2
5	6	frog	fr	2	boo-frog2.wav	tee-rog2.wav	init_del	boo	1
1	2	frog	fr	2	boo-frog2.wav	tee-rog2.wav	init_del	boo	1
2	1	spaceship	sp	-1	boo-spaceship1.wav	tee-saceship1.wav	med_del	boo	2
